TimeStep,AssetPrice,OptionPrice
1,13.6507,1.9007e-10
1,13.9892,4.03943e-10
1,14.3361,8.49205e-10
1,14.6916,1.76584e-09
1,15.0559,3.6316e-09
1,15.4293,7.38615e-09
1,15.8119,1.48551e-08
1,16.204,2.95414e-08
1,16.6058,5.80838e-08
1,17.0176,1.12904e-07
1,17.4396,2.16954e-07
1,17.872,4.12089e-07
1,18.3152,7.73665e-07
1,18.7694,1.43556e-06
1,19.2348,2.63252e-06
1,19.7118,4.7706e-06
1,20.2006,8.54282e-06
1,20.7015,1.51159e-05
1,21.2149,2.64269e-05
1,21.7409,4.56476e-05
1,22.28,7.7899e-05
1,22.8325,0.000131332
1,23.3987,0.000218735
1,23.9789,0.000359885
1,24.5736,0.000584919
1,25.1829,0.00093909
1,25.8074,0.00148934
1,26.4473,0.00233321
1,27.1032,0.00361065
1,27.7753,0.00551945
1,28.464,0.00833473
1,29.1698,0.0124332
1,29.8932,0.0183226
1,30.6344,0.026676
1,31.3941,0.0383714
1,32.1726,0.054535
1,32.9704,0.0765874
1,33.788,0.106289
1,34.6258,0.145786
1,35.4844,0.197643
1,36.3644,0.264876
1,37.2661,0.350961
1,38.1902,0.459827
1,39.1372,0.595831
1,40.1077,0.763699
1,41.1023,0.968451
1,42.1215,1.21529
1,43.166,1.5095
1,44.2364,1.85626
1,45.3334,2.26054
1,46.4575,2.72691
1,47.6095,3.25945
1,48.7901,3.86156
1,50,4.53593
1,51.2399,5.28443
1,52.5105,6.10813
1,53.8126,7.00726
1,55.147,7.98132
1,56.5145,9.02913
1,57.9159,10.1489
1,59.3521,11.3386
1,60.8239,12.5956
1,62.3321,13.9174
1,63.8778,15.3013
1,65.4618,16.7448
1,67.0851,18.2456
1,68.7486,19.8015
1,70.4534,21.4108
1,72.2005,23.0722
1,73.9908,24.7846
1,75.8256,26.5473
1,77.7059,28.3601
1,79.6328,30.223
1,81.6075,32.1363
1,83.6311,34.1008
1,85.705,36.1173
1,87.8302,38.187
1,90.0082,40.3113
1,92.2401,42.4917
1,94.5275,44.7301
1,96.8715,47.0283
1,99.2736,49.3887
1,101.735,51.8134
1,104.258,54.3049
1,106.843,56.866
1,109.493,59.4994
1,112.208,62.208
1,114.991,64.9905
1,117.842,67.842
1,120.764,70.7641
1,123.759,73.7588
1,126.828,76.8277
1,129.973,79.9726
1,133.196,83.1956
1,136.499,86.4985
1,139.883,89.8833
1,143.352,93.3521
1,146.907,96.9068
1,150.55,100.55
1,154.283,104.283
1,158.109,108.109
1,162.029,112.029
1,166.047,116.047
1,170.165,120.165
1,174.385,124.385
1,178.709,128.709
1,183.14,133.14
1,187.682,137.682
1,192.336,142.336
1,197.105,147.105
1,201.993,151.993
1,207.002,157.002
1,212.135,162.135
1,217.395,167.395
1,222.786,172.786
1,228.311,178.311
1,233.972,183.972
1,239.774,189.774
1,245.72,195.72
1,251.813,201.813
1,258.057,208.057
1,264.456,214.456
1,271.014,221.014
1,277.735,227.735
1,284.622,234.622
1,291.68,241.68
1,298.912,248.912
1,306.325,256.325
1,313.921,263.921
1,321.705,271.705
1,329.683,279.683
1,337.858,287.858
1,346.236,296.236
1,354.821,304.821
1,363.62,313.62
1,372.637,322.637
1,381.877,331.877
1,391.347,341.347
1,401.051,351.051
1,410.996,360.996
1,421.188,371.188
1,431.632,381.632
1,442.336,392.336
1,453.304,403.304
1,464.545,414.545
1,476.065,426.065
1,487.87,437.87
1,499.968,449.968
1,512.366,462.366
1,525.071,475.071
1,538.091,488.129
1,551.434,501.972
1,565.109,516.585
1,579.122,532.005
2,4.31688,0
2,4.42393,3.53789e-30
2,4.53363,1.2369e-29
2,4.64605,3.95511e-29
2,4.76126,1.2468e-28
2,4.87933,3.90064e-28
2,5.00032,1.21177e-27
2,5.12432,3.73802e-27
2,5.25139,1.14489e-26
2,5.38161,3.48141e-26
2,5.51506,1.05094e-25
2,5.65182,3.14916e-25
2,5.79197,9.36634e-25
2,5.93559,2.76482e-24
2,6.08278,8.09928e-24
2,6.23362,2.35436e-23
2,6.38819,6.79058e-23
2,6.5466,1.94317e-22
2,6.70894,5.51627e-22
2,6.87531,1.55336e-21
2,7.0458,4.33861e-21
2,7.22051,1.20183e-20
2,7.39956,3.30147e-20
2,7.58305,8.99302e-20
2,7.77109,2.42883e-19
2,7.9638,6.50338e-19
2,8.16128,1.72621e-18
2,8.36365,4.54168e-18
2,8.57105,1.18432e-17
2,8.78359,3.06063e-17
2,9.0014,7.83785e-17
2,9.22461,1.98878e-16
2,9.45336,4.99967e-16
2,9.68778,1.24513e-15
2,9.92801,3.07162e-15
2,10.1742,7.50509e-15
2,10.4265,1.8161e-14
2,10.685,4.35186e-14
2,10.95,1.03257e-13
2,11.2215,2.42569e-13
2,11.4998,5.64126e-13
2,11.785,1.29868e-12
2,12.0772,2.95918e-12
2,12.3767,6.67331e-12
2,12.6836,1.48926e-11
2,12.9981,3.28868e-11
2,13.3204,7.1854e-11
2,13.6507,1.55317e-10
2,13.9892,3.32113e-10
2,14.3361,7.02443e-10
2,14.6916,1.46946e-09
2,15.0559,3.04008e-09
2,15.4293,6.21954e-09
2,15.8119,1.25816e-08
2,16.204,2.51645e-08
2,16.6058,4.97592e-08
2,17.0176,9.72655e-08
2,17.4396,1.87936e-07
2,17.872,3.58919e-07
2,18.3152,6.77462e-07
2,18.7694,1.2637e-06
2,19.2348,2.32941e-06
2,19.7118,4.24289e-06
2,20.2006,7.63599e-06
2,20.7015,1.35779e-05
2,21.2149,2.38527e-05
2,21.7409,4.13961e-05
2,22.28,7.09709e-05
2,22.8325,0.000120194
2,23.3987,0.00020107
2,23.9789,0.000332248
2,24.5736,0.000542274
2,25.1829,0.000874192
2,25.8074,0.00139194
2,26.4473,0.00218906
2,27.1032,0.00340031
2,27.7753,0.00521682
2,28.464,0.00790545
2,29.1698,0.0118329
2,29.8932,0.0174951
2,30.6344,0.0255515
2,31.3941,0.0368653
2,32.1726,0.0525468
2,32.9704,0.0740003
2,33.788,0.102972
2,34.6258,0.141593
2,35.4844,0.19242
2,36.3644,0.258465
2,37.2661,0.343205
2,38.1902,0.450579
2,39.1372,0.584963
2,40.1077,0.751112
2,41.1023,0.954082
2,42.1215,1.19913
2,43.166,1.49156
2,44.2364,1.83664
2,45.3334,2.23938
2,46.4575,2.70441
2,47.6095,3.23584
2,48.7901,3.83713
2,50,4.51097
2,51.2399,5.25927
2,52.5105,6.08308
2,53.8126,6.98261
2,55.147,7.95735
2,56.5145,9.00608
2,57.9159,10.127
2,59.3521,11.3179
2,60.8239,12.5763
2,62.3321,13.8995
2,63.8778,15.2848
2,65.4618,16.7298
2,67.0851,18.2319
2,68.7486,19.7891
2,70.4534,21.3997
2,72.2005,23.0622
2,73.9908,24.7756
2,75.8256,26.5393
2,77.7059,28.3529
2,79.6328,30.2166
2,81.6075,32.1307
2,83.6311,34.0958
2,85.705,36.1129
2,87.8302,38.1832
2,90.0082,40.308
2,92.2401,42.4889
2,94.5275,44.7277
2,96.8715,47.0264
2,99.2736,49.3871
2,101.735,51.8122
2,104.258,54.3041
2,106.843,56.8654
2,109.493,59.4991
2,112.208,62.208
2,114.991,64.9905
2,117.842,67.842
2,120.764,70.7641
2,123.759,73.7588
2,126.828,76.8277
2,129.973,79.9726
2,133.196,83.1956
2,136.499,86.4985
2,139.883,89.8833
2,143.352,93.3521
2,146.907,96.9068
2,150.55,100.55
2,154.283,104.283
2,158.109,108.109
2,162.029,112.029
2,166.047,116.047
2,170.165,120.165
2,174.385,124.385
2,178.709,128.709
2,183.14,133.14
2,187.682,137.682
2,192.336,142.336
2,197.105,147.105
2,201.993,151.993
2,207.002,157.002
2,212.135,162.135
2,217.395,167.395
2,222.786,172.786
2,228.311,178.311
2,233.972,183.972
2,239.774,189.774
2,245.72,195.72
2,251.813,201.813
2,258.057,208.057
2,264.456,214.456
2,271.014,221.014
2,277.735,227.735
2,284.622,234.622
2,291.68,241.68
2,298.912,248.912
2,306.325,256.325
2,313.921,263.921
2,321.705,271.705
2,329.683,279.683
2,337.858,287.858
2,346.236,296.236
2,354.821,304.821
2,363.62,313.62
2,372.637,322.637
2,381.877,331.877
2,391.347,341.347
2,401.051,351.051
2,410.996,360.996
2,421.188,371.188
2,431.632,381.632
2,442.336,392.336
2,453.304,403.304
2,464.545,414.545
2,476.065,426.065
2,487.87,437.87
2,499.968,449.968
2,512.366,462.366
2,525.071,475.071
2,538.091,488.122
2,551.434,501.959
2,565.109,516.564
2,579.122,531.977
3,4.31688,0
3,4.42393,2.10517e-30
3,4.53363,7.40247e-30
3,4.64605,2.38302e-29
3,4.76126,7.56448e-29
3,4.87933,2.38314e-28
3,5.00032,7.45535e-28
3,5.12432,2.31594e-27
3,5.25139,7.14319e-27
3,5.38161,2.1874e-26
3,5.51506,6.64962e-26
3,5.65182,2.00661e-25
3,5.79197,6.01021e-25
3,5.93559,1.78665e-24
3,6.08278,5.27075e-24
3,6.23362,1.54295e-23
3,6.38819,4.48167e-23
3,6.5466,1.29151e-22
3,6.70894,3.69218e-22
3,6.87531,1.04703e-21
3,7.0458,2.94501e-21
3,7.22051,8.21531e-21
3,7.39956,2.27264e-20
3,7.58305,6.23401e-20
3,7.77109,1.69548e-19
3,7.9638,4.57155e-19
3,8.16128,1.22191e-18
3,8.36365,3.23728e-18
3,8.57105,8.50047e-18
3,8.78359,2.212e-17
3,9.0014,5.70381e-17
3,9.22461,1.45727e-16
3,9.45336,3.68865e-16
3,9.68778,9.24921e-16
3,9.92801,2.29725e-15
3,10.1742,5.65116e-15
3,10.4265,1.37673e-14
3,10.685,3.32121e-14
3,10.95,7.93305e-14
3,11.2215,1.87602e-13
3,11.4998,4.39181e-13
3,11.785,1.01769e-12
3,12.0772,2.33408e-12
3,12.3767,5.29781e-12
3,12.6836,1.18992e-11
3,12.9981,2.64446e-11
3,13.3204,5.81451e-11
3,13.6507,1.26475e-10
3,13.9892,2.72127e-10
3,14.3361,5.79124e-10
3,14.6916,1.2189e-09
3,15.0559,2.53697e-09
3,15.4293,5.22133e-09
3,15.8119,1.06249e-08
3,16.204,2.13751e-08
3,16.6058,4.25104e-08
3,17.0176,8.35701e-08
3,17.4396,1.62383e-07
3,17.872,3.11837e-07
3,18.3152,5.91808e-07
3,18.7694,1.10986e-06
3,19.2348,2.05666e-06
3,19.7118,3.76558e-06
3,20.2006,6.81157e-06
3,20.7015,1.21727e-05
3,21.2149,2.14892e-05
3,21.7409,3.7474e-05
3,22.28,6.45497e-05
3,22.8325,0.000109823
3,23.3987,0.000184549
3,23.9789,0.00030629
3,24.5736,0.00050205
3,25.1829,0.000812725
3,25.8074,0.00129932
3,26.4473,0.00205146
3,27.1032,0.00319877
3,27.7753,0.0049258
3,28.464,0.00749121
3,29.1698,0.0112517
3,29.8932,0.0166913
3,30.6344,0.024456
3,31.3941,0.0353936
3,32.1726,0.0505985
3,32.9704,0.0714586
3,33.788,0.0997039
3,34.6258,0.137453
3,35.4844,0.187252
3,36.3644,0.252108
3,37.2661,0.335499
3,38.1902,0.441375
3,39.1372,0.57413
3,40.1077,0.738546
3,41.1023,0.939718
3,42.1215,1.18294
3,43.166,1.47359
3,44.2364,1.81697
3,45.3334,2.21815
3,46.4575,2.68182
3,47.6095,3.21213
3,48.7901,3.81258
3,50,4.4859
3,51.2399,5.23399
3,52.5105,6.0579
3,53.8126,6.95786
3,55.147,7.93329
3,56.5145,8.98294
3,57.9159,10.105
3,59.3521,11.2972
3,60.8239,12.5569
3,62.3321,13.8816
3,63.8778,15.2684
3,65.4618,16.7147
3,67.0851,18.2182
3,68.7486,19.7767
3,70.4534,21.3885
3,72.2005,23.0522
3,73.9908,24.7666
3,75.8256,26.5312
3,77.7059,28.3457
3,79.6328,30.2102
3,81.6075,32.125
3,83.6311,34.0908
3,85.705,36.1085
3,87.8302,38.1793
3,90.0082,40.3046
3,92.2401,42.486
3,94.5275,44.7253
3,96.8715,47.0244
3,99.2736,49.3855
3,101.735,51.8109
3,104.258,54.3032
3,106.843,56.8649
3,109.493,59.4988
3,112.208,62.208
3,114.991,64.9905
3,117.842,67.842
3,120.764,70.7641
3,123.759,73.7588
3,126.828,76.8277
3,129.973,79.9726
3,133.196,83.1956
3,136.499,86.4985
3,139.883,89.8833
3,143.352,93.3521
3,146.907,96.9068
3,150.55,100.55
3,154.283,104.283
